a,b,cos,inliers,n_photos,photo_a,photo_b
1015814690,1015817210,0.9977383613586426,317,2,1015814690/1.jpg,1015817210/0.jpg
1000654094,1015389398,0.9895967245101929,317,6,1000654094/1.jpg,1015389398/2.jpg
1015797342,1015821290,0.9973825216293335,316,2,1015797342/0.jpg,1015821290/0.jpg
1015773979,1015833426,0.9734291434288025,316,1,1015773979/0.jpg,1015833426/0.jpg
1011245604,1015676068,0.9972450733184814,311,2,1011245604/0.jpg,1015676068/0.jpg
1015801188,1015821290,0.9955430030822754,309,1,1015807067/0.jpg,1015821290/0.jpg
1015807067,1015821290,0.9955430030822754,309,2,1015807067/0.jpg,1015821290/0.jpg
1015826930,1015903736,0.9984241127967834,301,3,1015826930/2.jpg,1015903736/2.jpg
1014170060,1015635002,0.9857443571090698,301,1,1014170060/0.jpg,1015635002/0.jpg
1015813047,1015832377,0.9958128333091736,296,2,1015813047/0.jpg,1015832377/1.jpg
1015813047,1015817210,0.9956953525543213,294,2,1015813047/0.jpg,1015817210/3.jpg
1015813047,1015817217,0.9954580664634705,294,2,1015813047/0.jpg,1015817217/0.jpg
1015892810,695496603,0.9539051055908203,294,1,1015892810/0.jpg,695496603/0.jpg
1000654094,694876548,0.979512095451355,291,3,1000654094/1.jpg,694876548/0.jpg
1015770269,1015899660,0.9759129881858826,288,4,1015770269/2.jpg,1015899660/0.jpg
1015458488,1015467665,0.9997726678848267,286,4,1015458488/0.jpg,1015467665/3.jpg
1015633602,1015776655,0.977715790271759,283,2,1015633602/0.jpg,1015776655/0.jpg
1015576622,1015664038,0.9324593544006348,282,2,1015576622/1.jpg,1015664038/2.jpg
1005574246,1015919481,0.9491356611251831,279,2,1005574246/0.jpg,1015919481/2.jpg
1012894737,1015589790,0.9797263741493225,278,1,1012894737/0.jpg,1015589790/0.jpg
1015332650,1015502634,0.9956386089324951,276,2,1015332650/2.jpg,1015502634/1.jpg
1015059385,1015766646,0.9983612895011902,272,2,1015059385/2.jpg,1015766646/2.jpg
1015797342,1015797939,0.9945771098136902,272,2,1015797342/3.jpg,1015797939/1.jpg
1013928268,760921707,0.995408296585083,271,2,1013928268/2.jpg,760921707/3.jpg
1015726869,1015861773,0.9967988133430481,269,2,1015726869/0.jpg,1015861773/3.jpg
1014733104,1015442365,0.9942283630371094,268,1,1014733104/0.jpg,1015442365/2.jpg
1015436806,1015549231,0.9990192651748657,263,4,1015436806/3.jpg,1015549231/2.jpg
1015797939,1015821290,0.9987097978591919,263,2,1015797939/2.jpg,1015821290/1.jpg
1015548867,1015613531,0.970260500907898,263,1,1015548867/0.jpg,1015613531/3.jpg
1015771498,1015805115,0.9995135068893433,262,3,1015771498/2.jpg,1015805115/2.jpg
1014689584,1015603495,0.9450677633285522,260,1,1014689584/1.jpg,1015603495/1.jpg
1015813047,1015844183,0.9974485039710999,255,1,1015813047/1.jpg,1015844183/2.jpg
1013885647,1014856300,0.9712151885032654,250,1,1013885647/0.jpg,1014856300/0.jpg
1014426072,1015690232,0.9871457815170288,244,2,1014426072/3.jpg,1015690232/3.jpg
1015817210,1015844183,0.9965541362762451,243,1,1015817210/1.jpg,1015844183/3.jpg
1015133662,1015652857,0.9147374033927917,238,1,1015133662/0.jpg,1015652857/1.jpg
1014298959,1015603495,0.9195757508277893,237,1,1014298959/1.jpg,1015603495/1.jpg
1015566723,1015741990,0.8973084688186646,234,1,1015566723/3.jpg,1015741990/3.jpg
1015715546,1015752660,0.998989462852478,230,2,1015715546/3.jpg,1015752660/2.jpg
1015796764,760183100,0.9911874532699585,230,2,1015796764/1.jpg,760183100/1.jpg
1015701860,1015887651,0.994207501411438,229,1,1015701860/1.jpg,1015887651/0.jpg
1015773979,1015805115,0.9988757371902466,228,3,1015773979/2.jpg,1015805115/2.jpg
1015256389,691258171,0.9956117868423462,226,2,1015256389/2.jpg,691258171/2.jpg
